Leave by Department,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
(January 2026 - February 2026),,,,,,,,,,
,,,,,,,,,,
Department,Headcount,Annual Leave Entitlement,Annual Leave Booked,Annual Leave Remaining,WFH Entitlement,WFH Booked,WFH Variance,Medical/Sick Taken,External Assignments Taken,Other Taken
Agri,9,187.5,21,166.5,81,1,80,2,0,0
DE BDM,13,384,115,269,117,30.5,86.5,29,3,0
Engineering,6,150.5,23,127.5,54,3,51,2,0,0
Finance,6,143.5,39.5,104,54,49.5,4.5,4.5,3,0
Group Finance,4,98.5,2,96.5,36,0,36,0,3,0
Group Legal,4,91,11,80,36,0,36,0,0,0
HR,2,41,8,33,18,5,13,0,3,0
Investment,7,147.5,24.5,123,63,6,57,1,0,0
Management,2,42,2,40,18,0,18,0,0,0
Operations,4,94,27.5,66.5,36,3,33,1,4,0
Property,3,72.5,9,63.5,27,0,27,0,0,0
UG Business Support,2,49.5,13.5,36,18,0,18,0,0,0
UK BDM,10,224,64,160,90,39.5,50.5,3,5,0
